subscription_id,customer_id,plan_name,monthly_price,start_date,end_date,status
1,1,Basic,499,2026-05-02,2099-12-31,Active
2,2,Basic,499,2025-07-09,2099-12-31,Active
3,4,Pro,999,2026-03-02,2099-12-31,Active
4,5,Pro,999,2024-07-27,2099-12-31,Active
5,6,Enterprise,2999,2026-02-04,2099-12-31,Active
6,7,Basic,499,2025-12-08,2099-12-31,Active
7,8,Pro,999,2024-06-27,2099-12-31,Active
8,9,Enterprise,2999,2026-06-20,2099-12-31,Active
9,10,Basic,499,2024-07-27,2099-12-31,Active
10,11,Enterprise,2999,2024-12-08,2025-09-25 00:00:00,Cancelled
11,12,Pro,999,2024-12-17,2099-12-31,Active
12,13,Basic,499,2025-03-30,2099-12-31,Active
13,14,Basic,499,2024-09-25,2099-12-31,Active
14,15,Enterprise,2999,2025-09-04,2025-10-07 00:00:00,Cancelled
15,16,Pro,999,2025-06-22,2099-12-31,Active
16,17,Pro,999,2025-01-09,2099-12-31,Active
17,20,Enterprise,2999,2025-12-08,2099-12-31,Active
18,22,Enterprise,2999,2026-04-25,2027-01-30 00:00:00,Cancelled
19,23,Basic,499,2024-09-13,2099-12-31,Active
20,25,Pro,999,2024-08-12,2099-12-31,Active
21,26,Enterprise,2999,2025-06-07,2099-12-31,Active
22,27,Pro,999,2025-08-23,2026-03-30 00:00:00,Cancelled
23,29,Basic,499,2025-02-09,2099-12-31,Active
24,30,Basic,499,2024-08-19,2099-12-31,Active
25,31,Enterprise,2999,2026-01-19,2026-10-30 00:00:00,Cancelled
26,32,Basic,499,2024-12-28,2099-12-31,Active
27,33,Enterprise,2999,2024-06-24,2025-03-06 00:00:00,Cancelled
28,36,Enterprise,2999,2025-08-24,2099-12-31,Active
29,37,Enterprise,2999,2025-05-15,2099-12-31,Active
30,38,Basic,499,2024-11-05,2025-06-03 00:00:00,Cancelled
31,40,Enterprise,2999,2025-09-14,2099-12-31,Active
32,41,Enterprise,2999,2025-09-24,2099-12-31,Active
33,42,Pro,999,2026-06-03,2027-01-31 00:00:00,Cancelled
34,45,Basic,499,2024-12-27,2099-12-31,Active
