usage_id,customer_id,usage_date,login_count,session_duration_minutes,feature_used
1,5101,2025-11-01,7,8,Forecasting
2,9105,2025-10-20,8,108,Reports
3,8933,2026-05-12,1,75,Reports
4,3777,2025-11-06,9,93,Automation
5,2431,2026-04-16,8,78,Export Data
6,2291,2025-10-01,5,172,AI Assistant
7,8770,2026-02-16,3,10,Analytics
8,6660,2026-01-12,3,83,AI Assistant
9,1691,2025-09-28,9,180,Dashboard
10,253,2025-12-10,9,153,Automation
11,9398,2026-03-31,9,16,Dashboard
12,1310,2025-09-28,6,16,Reports
13,9150,2025-11-27,5,80,Analytics
14,1197,2026-05-13,7,104,Automation
15,7465,2025-08-18,7,25,Dashboard
16,3731,2025-07-05,9,15,AI Assistant
17,816,2026-04-04,9,131,Dashboard
18,696,2026-04-22,3,64,Export Data
19,3790,2025-08-05,4,83,Analytics
20,1538,2025-07-09,3,71,Analytics
21,6322,2025-10-05,4,108,Reports
22,5405,2026-06-12,8,178,Export Data
23,6753,2025-06-26,6,78,Reports
24,8619,2026-03-31,8,178,Automation
25,6342,2026-02-25,6,144,Dashboard
26,3115,2025-09-11,10,110,Dashboard
27,3286,2025-09-27,1,20,Export Data
28,6783,2025-11-07,8,18,Automation
29,9450,2025-08-05,5,49,AI Assistant
30,9913,2025-09-07,2,59,Reports
31,253,2025-07-31,4,32,Automation
32,9827,2025-07-22,10,147,Dashboard
33,4036,2025-07-23,1,175,Reports
34,5759,2026-06-03,2,103,Forecasting
35,9142,2025-12-27,8,34,Automation
36,1580,2025-09-19,2,50,Analytics
37,1035,2026-04-25,3,27,Forecasting
38,6232,2026-01-05,7,160,Reports
39,1050,2025-09-16,6,14,Automation
40,9275,2025-10-21,1,20,Export Data
41,671,2026-02-02,7,81,Dashboard
42,3151,2026-03-20,7,63,Automation
43,4118,2026-01-13,3,75,Analytics
44,2209,2026-05-31,6,104,Automation
45,979,2025-07-18,10,42,Dashboard
46,3386,2026-01-28,6,78,Automation
47,5769,2025-07-26,4,59,Analytics
48,8841,2025-08-19,4,174,AI Assistant
49,8565,2026-01-06,5,144,AI Assistant
