revenue_id,customer_id,subscription_id,payment_date,amount
1,1,1,2026-06-01,999
2,2,2,2025-08-01,499
3,2,2,2025-09-01,499
4,2,2,2025-10-01,499
5,2,2,2025-11-01,499
6,2,2,2025-12-01,499
7,2,2,2026-01-01,499
8,2,2,2026-02-01,499
9,2,2,2026-03-01,499
10,2,2,2026-04-01,499
11,2,2,2026-05-01,499
12,2,2,2026-06-01,499
13,3,3,2025-12-01,499
14,3,3,2026-01-01,499
15,3,3,2026-02-01,499
16,3,3,2026-03-01,499
17,3,3,2026-04-01,499
18,3,3,2026-05-01,499
19,3,3,2026-06-01,499
20,4,4,2026-04-01,499
21,4,4,2026-05-01,499
22,4,4,2026-06-01,499
23,5,5,2024-08-01,499
24,5,5,2024-09-01,499
25,5,5,2024-10-01,499
26,5,5,2024-11-01,499
27,5,5,2024-12-01,499
28,5,5,2025-01-01,499
29,5,5,2025-02-01,499
30,5,5,2025-03-01,499
31,5,5,2025-04-01,499
32,5,5,2025-05-01,499
33,5,5,2025-06-01,499
34,5,5,2025-07-01,499
35,5,5,2025-08-01,499
36,5,5,2025-09-01,499
37,5,5,2025-10-01,499
38,5,5,2025-11-01,499
39,5,5,2025-12-01,499
40,5,5,2026-01-01,499
41,5,5,2026-02-01,499
42,5,5,2026-03-01,499
43,5,5,2026-04-01,499
44,5,5,2026-05-01,499
45,5,5,2026-06-01,499
46,6,6,2026-03-01,999
47,6,6,2026-04-01,999
48,6,6,2026-05-01,999
49,6,6,2026-06-01,999
50,7,7,2026-01-01,999
51,7,7,2026-02-01,999
52,7,7,2026-03-01,999
53,7,7,2026-04-01,999
54,7,7,2026-05-01,999
55,7,7,2026-06-01,999
56,8,8,2024-07-01,999
57,8,8,2024-08-01,999
58,8,8,2024-09-01,999
59,8,8,2024-10-01,999
60,8,8,2024-11-01,999
61,8,8,2024-12-01,999
62,10,10,2024-08-01,2999
63,10,10,2024-09-01,2999
64,10,10,2024-10-01,2999
65,10,10,2024-11-01,2999
66,10,10,2024-12-01,2999
67,10,10,2025-01-01,2999
68,10,10,2025-02-01,2999
69,10,10,2025-03-01,2999
70,10,10,2025-04-01,2999
71,10,10,2025-05-01,2999
72,10,10,2025-06-01,2999
73,10,10,2025-07-01,2999
74,10,10,2025-08-01,2999
75,10,10,2025-09-01,2999
76,10,10,2025-10-01,2999
77,10,10,2025-11-01,2999
78,10,10,2025-12-01,2999
79,10,10,2026-01-01,2999
80,10,10,2026-02-01,2999
81,10,10,2026-03-01,2999
82,10,10,2026-04-01,2999
83,10,10,2026-05-01,2999
84,10,10,2026-06-01,2999
85,11,11,2025-01-01,2999
86,11,11,2025-02-01,2999
87,11,11,2025-03-01,2999
88,11,11,2025-04-01,2999
89,11,11,2025-05-01,2999
90,11,11,2025-06-01,2999
91,11,11,2025-07-01,2999
92,11,11,2025-08-01,2999
93,11,11,2025-09-01,2999
94,11,11,2025-10-01,2999
95,11,11,2025-11-01,2999
96,11,11,2025-12-01,2999
97,11,11,2026-01-01,2999
98,11,11,2026-02-01,2999
99,11,11,2026-03-01,2999
100,11,11,2026-04-01,2999
101,11,11,2026-05-01,2999
102,11,11,2026-06-01,2999
103,12,12,2025-01-01,499
104,12,12,2025-02-01,499
105,12,12,2025-03-01,499
106,12,12,2025-04-01,499
107,12,12,2025-05-01,499
108,12,12,2025-06-01,499
109,12,12,2025-07-01,499
110,12,12,2025-08-01,499
111,12,12,2025-09-01,499
112,12,12,2025-10-01,499
